臺南市政府警察局105年1月各單位肇事原因統計表(附表1-4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項目,總計,未填明肇事因素,違規超車,迴轉未依規定,橫越道路不慎,倒車未依規定,超速失控,未依規定減速,搶越行人穿越道,未保持行車安全距離,未保持行車安全間隔,停車操作時，未注意其他車(人)安全,起步未注意其他車(人)安全,酒醉(後)駕駛失控,疲勞(患病)駕駛失控,未注意車前狀態,違反號誌管制或指揮,違反特定標誌(線)禁制,未依規定使用燈光,裝載貨物不穩妥,貨物超長、寬、高而肇事,違規停車或暫停不當而肇事,拋錨未採安全措施,逆向行駛,開?車門不當而肇事,其他引起事故之違規或不當行為,不明原因肇事,尚未發現肇事因素,車輪脫落或輪胎爆裂,未靠右行駛,其它引起事故之故障,未依規定行走行人穿越道、地下道、天橋而穿越道路,未依標誌、標線、號誌或手勢指揮穿越道路,穿越道路未注意左右來車,在道路上嬉戲或奔走不定,未依規定讓車,其它引起事故之疏失或行為,動物竄出,變換車道或方向不當,左轉彎未依規定,右轉彎未依規定,,,,,
總計,2186,363,11,66,20,23,5,6,3,96,52,1,76,46,5,388,128,33,2,1,1,4,1,34,32,53,33,9,3,12,1,4,3,5,1,453,5,4,34,114,55,0,0,0,,
新營分局,175,14,0,5,1,6,0,0,0,5,3,0,8,4,1,37,8,2,1,0,0,0,0,1,3,2,3,1,0,3,0,0,0,0,0,45,1,0,2,11,8,,,,,
白河分局,45,6,0,3,0,1,1,0,0,2,0,0,1,0,1,16,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1,,,,,
麻豆分局,136,7,0,3,3,1,0,1,0,3,3,0,1,6,1,47,6,0,0,0,0,2,0,2,1,3,1,0,1,1,0,1,0,1,0,27,1,1,1,8,3,,,,,
佳里分局,128,25,0,6,1,2,0,0,0,5,3,0,5,0,0,19,6,1,0,0,0,0,1,2,0,1,0,0,0,1,0,1,1,0,0,32,0,0,1,9,6,,,,,
學甲分局,45,15,0,3,0,1,1,0,0,2,0,0,1,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,,,,,
善化分局,154,51,1,5,1,2,0,0,0,2,3,0,6,2,0,21,8,2,1,0,0,0,0,2,1,1,0,1,0,1,0,0,0,1,0,33,0,0,2,5,2,,,,,
新化分局,79,19,0,0,1,0,1,0,0,4,4,0,4,1,0,15,2,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,17,0,1,1,1,1,,,,,
歸仁分局,201,97,0,5,0,0,0,0,0,6,1,0,3,6,0,25,9,3,0,0,0,1,0,2,0,0,2,1,1,0,0,0,0,0,0,25,0,0,3,8,3,,,,,
玉井分局,13,4,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,,,,
永康分局,338,32,3,5,3,3,2,3,0,24,9,0,16,6,0,63,25,3,0,0,0,0,0,5,5,15,6,2,0,3,1,1,0,1,0,75,1,0,5,11,10,,,,,
第一分局,138,15,0,5,0,1,0,0,0,6,3,0,3,8,0,16,9,1,0,0,0,0,0,3,4,11,6,1,0,1,0,0,0,0,0,20,0,0,2,17,6,,,,,
第二分局,233,4,4,11,4,1,0,2,2,18,10,0,11,1,0,42,28,8,0,0,1,1,0,4,5,2,5,1,0,0,0,1,1,0,0,43,0,0,5,13,5,,,,,
第三分局,158,28,0,5,2,1,0,0,0,8,2,0,6,2,0,33,5,3,0,0,0,0,0,1,2,8,2,0,1,0,0,0,0,0,1,36,1,0,2,5,4,,,,,
第四分局,91,7,0,4,1,2,0,0,1,4,5,0,3,1,0,12,8,0,0,0,0,0,0,0,4,2,6,0,0,1,0,0,0,0,0,22,0,0,1,6,1,,,,,
第五分局,167,13,3,2,1,2,0,0,0,7,5,0,4,2,0,27,11,4,0,0,0,0,0,8,3,3,2,0,0,1,0,0,1,2,0,42,0,0,5,15,4,,,,,
第六分局,85,26,0,4,2,0,0,0,0,0,1,1,3,4,0,11,1,3,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,13,1,0,3,5,1,,,,,
